Fabric Code,Name,Safety Lock,Min Alert Qty,Delivery Days,Per Yard Retail Price,Discontinue,Active,Vendor,UPC
DS-MSTK1-FB,"Blue Water Silk Fabric","2","12","4","9.5500","Yes","No","Sierra","4554365473546",""
SS-SBN11-FB,"Brown Gold Thai Silk Fabric","6","9","10","15.5300","No","Yes","Star","53645762222",""
SS-SBR13-FB,"Bold Red Thai Silk Fabric","8","6","15","7.5900","No","Yes","Star","868768768777",""
SS-SCB01-FB,"Chocolate Brown Thai Silk Fabric","30","0","2","5.2200","No","Yes","Sierra","868768768766",""
SS-SCY22-FB,"Cayenne Thai Silk Fabric","40","0","2","6.2200","No","Yes","Sierra","",""
SS-SG05-FB,"Sage Green Thai Silk Fabric","50","0","2","3.3300","No","Yes","Sierra","212121212",""
SS-SG17-FB,"Silver Grey Thai Silk Fabric","60","0","2","6.6600","No","Yes","Sierra","345435454565",""
SS-SGD21-FB,"Gold Dust Thai Silk Fabric","70","0","2","9.9900","No","Yes","Sierra","",""
SS-SMB19-FB,"Midnight Black Thai Silk Fabric","80","0","2","1.4500","No","Yes","Sierra","4545546546",""
SS-SMR04-FB,"Merlot Thai Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
SS-SPW28-FB,"Pearl White Thai Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","577876878768768",""
SS-SSB02-FB,"Sea Blue Thai Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
SS-STG16-FB,"Taupe Gold Thai Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","787686786787",""
SS-STG17-FB,"Taupe Gold Thai Silk Fabric11","10","7","0","25.0000","Yes","Yes","Star","7687468746847",""

