Fabric Code,Name,Total Qty On Hand,No. of days Delivery,Order 1 qty,Order 1 date,Production 1 date,Order 2 qty,Order 2 date,Production 2 date,Order 3 qty,Order 3 date,Production 3 date,Order 4 qty,Order 4 date,Production 4 date,Yard Price
DIS-ID7727-FB,"Pearl Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID20-FB,"Sunrise Gold Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID15-FB,"Biscotti Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID1-FB,"Lily White Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID224-FB,"Black Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID124-FB,"Chocolate Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID37-FB,"Restful Green Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID221-FB,"Navy Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID7906-FB,"Winter Blue Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID511-FB,"Silver Bell Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID68-FB,"Shoreline Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID7806-FB,"Cashmere Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID112-FB,"Chili Pepper Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID9-FB,"Maplewood Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"
DIS-ID50-FB,"Mocha Textured Dupioni Silk Fabric","0","25","","","","","","","","","","","","","0.0000"

