SKU,UPC,Price,BaseCustomPrice
BN-SBN11VET1206-108,799665820619,199,199
BN-SBN11VET1206-120,799665820602,209,209
BN-SBN11VET1206-84,799665820589,169,169
BN-SBN11VET1206-96,799665820596,189,189
BN-SCY22VET1206-108,799665820718,199,199
BN-SCY22VET1206-120,799665820701,209,209
BN-SCY22VET1206-84,799665820688,169,169
BN-SCY22VET1206-96,799665820695,189,189
BN-SG17VET1206-108,799665820565,199,199
BN-SG17VET1206-120,799665820558,209,209
BN-SG17VET1206-84,799665820534,169,125
BN-SG17VET1206-96,799665820541,120,124
BN-SMB19VET1206-108,799665820817,199,199
BN-SMB19VET1206-120,799665820800,209,209
BN-SMB19VET1206-84,799665820787,169,169
BN-SMB19VET1206-96,799665820794,189,189
BN-SMR04VET1206-108,799665820763,199,199
BN-SMR04VET1206-120,799665820756,209,209
BN-SMR04VET1206-84,799665820732,169,169
BN-SMR04VET1206-96,799665820749,189,189
BN-SPW28VET1206-108,799665820510,199,199
BN-SPW28VET1206-120,799665820503,209,209
BN-SPW28VET1206-84,799665820480,169,169
BN-SPW28VET1206-96,799665820497,189,189
BN-STG16VET1206-108,799665820664,199,199
BN-STG16VET1206-120,799665820657,209,209
BN-STG16VET1206-84,799665820633,169,169
BN-STG16VET1206-96,799665820640,189,189
BOCH-KC1-108,610395225591,52,59.99
BOCH-KC1-120,610395225607,60,66.99
BOCH-KC1-84,610395225577,40,49.99
BOCH-KC1-96,610395225584,50,54.99
BOCH-KC20-108,799665825089,64.99,64.99
BOCH-KC20-120,799665825072,69.99,69.99
BOCH-KC20-84,799665825058,56,56
BOCH-KC20-96,799665825065,59.99,59.99
BOCH-KC21-108,799665825164,60,65
BOCH-KC21-120,799665825157,69.99,69.99
BOCH-KC21-84,799665825133,54.99,54.99
BOCH-KC21-96,799665825140,59.99,59.99
BOCH-KC22-108,799665825249,64.99,64.99
BOCH-KC22-120,799665825232,69.99,69.99
BOCH-KC22-84,799665825218,54.99,54.99
BOCH-KC22-96,799665825225,59.99,59.99
BOCH-KC23-108,799665825324,64.99,64.99
BOCH-KC23-120,799665825317,69.99,69.99
BOCH-KC23-84,799665825294,54.99,54.99
BOCH-KC23-96,799665825300,59.99,59.99
BOCH-KC24-108,799665825409,64.99,64.99
BOCH-KC24-120,799665825393,69.99,69.99
BOCH-KC24-84,799665825379,54.99,54.99
BOCH-KC24-96,799665825386,59.99,59.99
BOCH-KC25-108,799665825485,64.99,64.99
BOCH-KC25-120,799665825478,69.99,69.99
BOCH-KC25-84,799665825454,54.99,54.99
BOCH-KC25-96,799665825461,59.99,59.99
BOCH-KC26-108,799665825560,64.99,64.99
BOCH-KC26-120,799665825553,69.99,69.99
BOCH-KC26-84,799665825539,54.99,54.99
BOCH-KC26-96,799665825546,59.99,59.99
BOCH-KC27-108,799665825645,64.99,64.99
BOCH-KC27-120,799665825638,69.99,69.99
BOCH-KC27-84,799665825614,54.99,54.99
BOCH-KC27-96,799665825621,59.99,59.99
BOCH-KC28-108,799665825720,64.99,64.99
BOCH-KC28-120,799665825713,69.99,69.99
BOCH-KC28-84,799665825690,54.99,54.99
BOCH-KC28-96,799665825706,59.99,59.99
BOCH-KC29-108,799665825805,64.99,64.99
BOCH-KC29-120,799665825799,69.99,69.99
BOCH-KC29-84,799665825775,54.99,54.99
BOCH-KC29-96,799665825782,59.99,59.99
BOCH-KC30-108,799665825881,64.99,64.99
BOCH-KC30-120,799665825874,69.99,69.99
BOCH-KC30-84,799665825850,54.99,54.99
BOCH-KC30-96,799665825867,59.99,59.99
BOCH-KC31-108,799665825966,64.99,64.99
BOCH-KC31-120,799665825959,69.99,69.99
BOCH-KC31-84,799665825935,54.99,54.99
BOCH-KC31-96,799665825942,59.99,59.99
BOCH-KC32-108,799665826048,64.99,64.99
BOCH-KC32-120,799665826031,69.99,69.99
BOCH-KC32-84,799665826017,54.99,54.99
BOCH-KC32-96,799665826024,59.99,59.99
BOCH-KC33-108,799665826123,59.99,59.99
BOCH-KC33-120,799665826116,64.99,64.99
BOCH-KC33-84,799665826093,49.99,49.99
BOCH-KC33-96,799665826109,54.99,54.99
BOCH-KC34C-108,799665826208,59.99,59.99
BOCH-KC34C-120,799665826192,64.99,64.99
BOCH-KC34C-84,799665826178,49.99,49.99
BOCH-KC34C-96,799665826185,54.99,54.99
BOCH-KC35-108,799665826284,64.99,64.99
BOCH-KC35-120,799665826277,69.99,69.99
BOCH-KC35-84,799665826253,54.99,54.99
BOCH-KC35-96,799665826260,59.99,59.99
BOCH-KC36-108,799665826369,64.99,64.99
BOCH-KC36-120,799665826352,69.99,69.99
BOCH-KC36-84,799665826338,54.99,54.99
BOCH-KC36-96,799665826345,59.99,59.99
BOCH-KC5-108,610395225713,59.99,59.99
BOCH-KC5-120,610395225720,64.99,64.99
BOCH-KC5-84,610395225690,49.99,49.99
BOCH-KC5-96,610395225706,54.99,54.99
BOCH-KC6-108,610395225676,59.99,59.99
BOCH-KC6-108,610395225676,59.99,59.99
BOCH-KC6-120,610395225683,64.99,64.99
BOCH-KC6-120,610395225683,64.99,64.99
BOCH-KC6-84,610395225652,49.99,49.99
BOCH-KC6-84,610395225652,49.99,49.99
BOCH-KC6-96,610395225669,54.99,54.99
BOCH-KC6-96,610395225669,54.99,54.99
BOCH-KC8-108,610395225911,59.99,59.99
BOCH-KC8-120,610395225928,64.99,64.99
BOCH-KC8-84,610395225898,49.99,49.99
BOCH-KC8-96,610395225904,54.99,54.99
BOCH-KC91B-108,610395225997,59.99,59.99
BOCH-KC91B-120,610395226000,64.99,64.99
BOCH-KC91B-84,610395225973,49.99,49.99
BOCH-KC91B-96,610395225980,54.99,54.99
